UserId,Department/Region,Young women,"Young people not in employment, education or training (NEET) ",Young migrant workers ,Young refugees ,Young people - sexual orientation and gender identity ,Young people with disabilities ,Young rural workers  ,Young indigenous people ,Other,Other (elaborated answ)
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
USR-202506-0041,Conditions of Work and Equality,,,YES,,,,,,,
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,YES,YES,YES,,,YES,YES,YES,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,
USR-202506-0042,Governance and Tripartism,,,,,,,,,,
USR-202506-0043,Region: Latin America and the Caribbean,YES,YES,,,,,,,,
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,
